id,PUMA10,ST,NP,TYPE,TEN,HHT,HUPAOC,HUPARC,MULTG,NR,PARTNER,HHAGE,HHSEX,HHRACE,HHHISP,NPU18withEXC,PP_0-5,PP_6-17,PP_60-64,PP_65-74,PP_75,PP_0-5_withEXC,PP_6-17_withEXC
12769136,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769137,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769138,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769139,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769140,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769141,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769142,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769143,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769144,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769145,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769146,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12769147,01306,06,02,1,2,1,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12792894,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792895,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792896,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792897,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792898,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792899,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792900,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792901,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792902,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792903,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792904,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792905,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792906,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792907,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792908,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792909,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792910,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792911,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792912,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792913,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792914,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792915,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792916,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792917,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792918,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792919,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792920,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792921,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792922,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792923,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792924,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792925,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792926,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792927,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792928,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792929,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792930,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792931,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792932,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792933,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792934,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792935,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792936,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792937,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792938,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792939,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792940,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792941,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792942,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792943,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792944,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792945,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12792946,01306,06,01,1,3,6,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
12813745,01306,06,01,1,3,4,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12813746,01306,06,01,1,3,4,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12813747,01306,06,01,1,3,4,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12813748,01306,06,01,1,3,4,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
12813749,01306,06,01,1,3,4,4,4,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0
