id,PUMA10,ST,NP,TYPE,TEN,HHT,HUPAOC,HUPARC,MULTG,NR,PARTNER,HHAGE,HHSEX,HHRACE,HHHISP,NPU18withEXC,PP_0-5,PP_6-17,PP_60-64,PP_65-74,PP_75,PP_0-5_withEXC,PP_6-17_withEXC
102760249,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760250,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760251,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760252,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760253,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760254,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760255,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760256,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760257,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760258,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760259,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760260,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102760261,01202,40,01,1,3,4,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0
102763243,01202,40,02,1,1,1,4,4,1,0,0,5,2,1,0,0,0,0,1,0,0,0,0
102763244,01202,40,02,1,1,1,4,4,1,0,0,5,2,1,0,0,0,0,1,0,0,0,0
102763245,01202,40,02,1,1,1,4,4,1,0,0,5,2,1,0,0,0,0,1,0,0,0,0
102763246,01202,40,02,1,1,1,4,4,1,0,0,5,2,1,0,0,0,0,1,0,0,0,0
102763247,01202,40,02,1,1,1,4,4,1,0,0,5,2,1,0,0,0,0,1,0,0,0,0
102763248,01202,40,02,1,1,1,4,4,1,0,0,5,2,1,0,0,0,0,1,0,0,0,0
102763249,01202,40,02,1,1,1,4,4,1,0,0,5,2,1,0,0,0,0,1,0,0,0,0
102764524,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764525,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764526,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764527,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764528,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764529,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764530,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764531,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764532,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764533,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764534,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764535,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764536,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764537,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764538,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764539,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764540,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764541,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764542,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764543,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764544,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764545,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764546,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764547,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764548,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764549,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764550,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764551,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764552,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764553,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764554,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764555,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764556,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764557,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764558,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764559,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764560,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764561,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764562,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764563,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764564,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
102764565,01202,40,01,1,2,6,4,4,1,0,0,7,2,1,0,0,0,0,0,0,1,0,0
